Marca temporal,Edad,Género,País de origen,¿Tienes alguna condición física o lesión que deba tenerse en cuenta?,"Si tienes alguna condición física o lesión que deba tenerse en cuenta, cuál es?",¿Qué nivel de experiencia tenías en senderismo o caminatas largas?,¿Cómo era tu condición física antes de empezar el Camino?,Motivo/s principal/es para hacer el Camino,¿Con cuántas personas hiciste el Camino?,¿Qué época del año lo hiciste?,¿Habías hecho el camino anteriormente?,¿Qué ruta del Camino hiciste?,¿Cuántos días te llevó completarlo?,¿Desde donde lo empezaste?,¿Qué distancia total caminaste (aproximadamente)?,¿Qué tan duras fueron las etapas que hiciste en general?,¿Qué tipo de calzado usaste principalmente durante el Camino?,¿Tu calzado fue adecuado para el tipo de terreno y etapas?,¿Usaste transporte de mochila?,¿Reservaste alojamientos con antelación?,¿En qué tipo o tipos de alojamiento te hospedaste durante tu estancia?,¿Hace cuánto hiciste el Camino?,¿Volverías a hacer el Camino?,¿Cuál crees que es tu tipo ideal de etapa?,¿Qué nota le das a tu experiencia en el Camino? (0–10),¿Tuviste alguna lesión o problema físico durante el camino?,¿Qué consejos darías a alguien como tú antes de hacer el Camino?,Medio de transporte
2024-10-05 20:19:32.000,veintisiete,Hombre,España,No,,Moderada (10–20 km regularmente),Alta,"Cultural/turístico, Deportivo",En grupo organizado (>6),Verano,No,Inglés,6,Ferrol,100–200 km,Moderadas,Botas de montaña,Sí,No,No,Albergues privados,Este año,Sí,Medias (~20 km con algo de desnivel),10,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",En bici
2024-01-21 02:54:16.000,30,Mujer,España,No,,Avanzada (rutas largas con mochila/montaña),Media,Cultural/turístico,En grupo pequeño (3–6 personas),Verano,No,Francés,6,Sarria,100–200 km,Moderadas,Zapatillas de trail running,Sí,No,Sí,"Albergues privados, Hostales / Hoteles",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),9,No,,A pie
2024-05-07 04:33:32.000,30,Mujer,Portugal,No,,Básica (≤ 10 km ocasionalmente),Media,"Deportivo, Religioso",En pareja,Verano,Sí,Portugués,4,Vigo,100–200 km,Exigentes,Zapatillas de trail running,Sí,No,Sí,Hostales / Hoteles,En los últimos 2 años,Tal vez,Medias (~20 km con algo de desnivel),7,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-05-26 13:28:52.000,treinta y tres,Hombre,España,Sí,Escoliosis,Básica (≤ 10 km ocasionalmente),Media,Deportivo,En pareja,Verano,No,Francés,seis,Sarría,100–200 km,Moderadas,Zapatillas de trail running,Sí,No,Sí,Hostales / Hoteles,Más de 2 años,Sí,Medias (~20 km con algo de desnivel),8,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2025-04-18 04:02:23.000,28,Mujer,España,,,Moderada (10–20 km regularmente),Media,"Personal/reflexivo, Religioso",En pareja,Primavera,No,Francés,4,Sarria,100–200 km,Exigentes,Botas de montaña,Sí,Sí,Sí,"Albergues privados, Hostales / Hoteles",Este año,Sí,Largas y exigentes (≥ 25 km),8,No,,A pie
2024-11-15 00:12:54.000,33,Hombre,España,No,,Ninguna,Alta,"Cultural/turístico, Religioso",En pareja,Invierno,No,Portugués,6,Vigo,100–200 km,Suaves,Botas de montaña,Sí,No,Sí,"Albergues privados, Hostales / Hoteles",Este año,Tal vez,Medias (~20 km con algo de desnivel),7,No,,A pie
2024-05-19 21:15:33.000,50,Mujer,España,No,,Moderada (10–20 km regularmente),Media,Cultural/turístico,En pareja,Otoño,No,Francés,6,Sarria,100–200 km,Moderadas,Botas de montaña,Sí,No,No,Albergues públicos,En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),9,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-03-08 02:53:50.000,treinta y dos,Mujer,España,Sí,Escoliosis,Moderada (10–20 km regularmente),Media,"Deportivo, Personal/reflexivo, Religioso",Solo/a,Verano,No,del Norte,16,Luarca,200–400 km,Suaves,Zapatillas de trail running,Sí,No,No,Albergues públicos,Este año,Sí,Cortas y fáciles (≤ 15 km),9,No,"Planifica etapas cortas y constantes, evita alargar por euforia. Sal temprano por el calor y reserva si vas por el Francés. El terreno puede ser húmedo: calzado con buena suela. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-04-29 01:43:47.000,31,Mujer,España,,Fascitis plantar,Básica (≤ 10 km ocasionalmente),Media,"Cultural/turístico, Deportivo",En pareja,Otoño,No,Portugués,cinco,Tui,100–200 km,Moderadas,Playeros ,Sí,No,No,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Largas y exigentes (≥ 25 km),8,No,"Controla el ritmo; escucha tus pies y haz estiramientos. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2025-02-10 15:03:18.000,30,Mujer,España,No,,Avanzada (rutas largas con mochila/montaña),Media,Personal/reflexivo,En pareja,Verano,Sí,Inglés,6,Ferrol,100–200 km,Moderadas,Zapatillas deportivas normales,Sí,No,Sí,Hostales / Hoteles,Este año,Sí,Medias (~20 km con algo de desnivel),8,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2025-01-19 00:16:06.000,28,Mujer,Portugal,No,,Moderada (10–20 km regularmente),Media,"Cultural/turístico, Deportivo",Solo/a,Otoño,No,Francés,5,Sarria,100–200 km,Muy variables,Botas de montaña,Sí,No,No,Albergues privados,Este año,Sí,Medias (~20 km con algo de desnivel),9,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",En bici
2024-02-04 18:42:38.000,cuarenta y cuatro,Mujer,España,,,Moderada (10–20 km regularmente),Alta,"Deportivo, Personal/reflexivo, Religioso",En pareja,Otoño,No,Francés,ocho,Sarria,100–200 km,Suaves,Zapatillas deportivas normales,Sí,No,Sí,"Hostales / Hoteles, Airbnb",Este año,Sí,Medias (~20 km con algo de desnivel),9,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-04-27 10:28:46.000,cuarenta y dos,Mujer,España,Sí,Dolor lumbar,Moderada (10–20 km regularmente),Alta,"Deportivo, Personal/reflexivo",En grupo pequeño (3–6 personas),Verano,No,del Norte,veinticuatro,Bilbaó,200–400 km,Moderadas,Playeros ,Sí,No,Sí,Hostales / Hoteles,En los últimos 2 años,Sí,Largas y exigentes (≥ 25 km),9,No,"Controla el ritmo; escucha tus pies y haz estiramientos. Sal temprano por el calor y reserva si vas por el Francés. El terreno puede ser húmedo: calzado con buena suela. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-10-16 08:58:17.000,46,Mujer,España,No,,Moderada (10–20 km regularmente),Media,"Cultural/turístico, Deportivo",Solo/a,Primavera,No,Portugués,cuatro,Pontevedra,Menos de 100 km,Suaves,Zapatillas de trail running,Sí,No,No,Albergues públicos,En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),9,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2025-04-03 15:00:11.000,cuarenta y siete,Hombre,España,No,,Básica (≤ 10 km ocasionalmente),Media,Personal/reflexivo,En grupo pequeño (3–6 personas),Verano,No,Francés,cinco,Sarría,100–200 km,Moderadas,Zapatillas deportivas normales,Sí,Sí,Sí,Hostales / Hoteles,En los últimos 2 años,Sí,Largas y exigentes (≥ 25 km),9,No,"Controla el ritmo; escucha tus pies y haz estiramientos. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-10-22 22:50:08.000,26,Hombre,España,No,,Ninguna,Media,"Deportivo, Religioso",En pareja,Verano,No,Inglés,6,Ferrol,100–200 km,Moderadas,Botas de montaña,Sí,No,No,Albergues privados,Más de 2 años,Sí,Medias (~20 km con algo de desnivel),9,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2025-02-14 05:27:10.000,26,Hombre,Argentina,No,,Básica (≤ 10 km ocasionalmente),Media,Religioso,Solo/a,Invierno,No,Francés,5,Sarrià,100–200 km,Moderadas,Botas de montaña,Sí,No,Sí,"Hostales / Hoteles, Airbnb",Más de 2 años,Sí,Largas y exigentes (≥ 25 km),8,No,"Controla el ritmo; escucha tus pies y haz estiramientos. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-05-06 17:19:39.000,cuarenta y cuatro,Mujer,España,No,,Ninguna,Alta,"Personal/reflexivo, Religioso",En pareja,Otoño,Sí,del Norte,diez,Ribadeo,100–200 km,Moderadas,Zapatillas deportivas normales,Sí,No,No,"Albergues públicos, Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),10,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. El terreno puede ser húmedo: calzado con buena suela. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-01-29 04:44:57.000,37,Hombre,España,Sí,Ligamento de rodilla inestable,Básica (≤ 10 km ocasionalmente),Media,"Cultural/turístico, Personal/reflexivo, Religioso",En grupo organizado (>6),Invierno,No,Portugués,cinco,Tui,100–200 km,Moderadas,Sandalias de trekking,Sí,No,No,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),8,No,,A pie
2024-09-19 09:50:12.000,veintisiete,Mujer,Portugal,,,Moderada (10–20 km regularmente),Alta,"Personal/reflexivo, Religioso",Solo/a,Otoño,No,Primitivo,dieciocho,Oviedo,200–400 km,Suaves,Botas de montaña,Sí,No,No,Albergues privados,Este año,Sí,Cortas y fáciles (≤ 15 km),9,No,,A pie
2024-11-21 09:01:28.000,veintiocho,Mujer,España,,Asma leve,Moderada (10–20 km regularmente),Media,"Deportivo, Personal/reflexivo",En grupo pequeño (3–6 personas),Otoño,No,Portugués,6,Baiona,100–200 km,Moderadas,Botas de montaña,Sí,No,No,Albergues públicos,Más de 2 años,Sí,Largas y exigentes (≥ 25 km),9,No,,En bici
2024-06-08 03:41:31.000,24,Mujer,España,Sí,Ligamento de rodilla inestable,Básica (≤ 10 km ocasionalmente),Media,"Deportivo, Personal/reflexivo, Religioso",En grupo pequeño (3–6 personas),Verano,No,Francés,seis,Sarria,100–200 km,Muy variables,Zapatillas deportivas normales,Sí,No,Sí,"Hostales / Hoteles, Airbnb",Más de 2 años,Sí,Medias (~20 km con algo de desnivel),8,No,,A pie
2024-08-24 23:26:33.000,29,Hombre,España,,,Básica (≤ 10 km ocasionalmente),Media,"Deportivo, Personal/reflexivo, Religioso",En grupo pequeño (3–6 personas),Primavera,No,Francés,cinco,Triacastela,100–200 km,Exigentes,Zapatillas deportivas normales,Sí,No,Sí,"Hostales / Hoteles, Airbnb",En los últimos 2 años,Sí,Largas y exigentes (≥ 25 km),8,No,"Controla el ritmo; escucha tus pies y haz estiramientos. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-11-16 17:26:25.000,cuarenta y cinco,Mujer,España,,,Básica (≤ 10 km ocasionalmente),Baja,Religioso,En grupo pequeño (3–6 personas),Primavera,No,Portugués,diez,Barcelos,200–400 km,Muy variables,Zapatillas deportivas normales,Sí,No,No,Albergues privados,Este año,Sí,Largas y exigentes (≥ 25 km),8,No,"Controla el ritmo; escucha tus pies y haz estiramientos. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2025-03-05 13:17:24.000,48,Mujer,Argentina,No,,Moderada (10–20 km regularmente),Media,"Personal/reflexivo, Religioso",En pareja,Verano,No,Francés,siete,Sárria,100–200 km,Suaves,Botas de montaña,Sí,No,No,Albergues públicos,Más de 2 años,Sí,Cortas y fáciles (≤ 15 km),8,No,,A pie
2025-04-14 00:25:59.000,cincuenta y dos,Mujer,Reino Unido,No,,Básica (≤ 10 km ocasionalmente),Media,"Cultural/turístico, Personal/reflexivo, Religioso",En pareja,Primavera,No,Francés,seis,O Cebréiro,100–200 km,Muy variables,Playeros ,No,No,No,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Largas y exigentes (≥ 25 km),9,No,,A pie
2024-08-02 14:24:34.000,veintisiete,Hombre,España,,,Moderada (10–20 km regularmente),Media,"Cultural/turístico, Deportivo, Religioso",En grupo pequeño (3–6 personas),Verano,Sí,Portugués,5,Vigo,100–200 km,Moderadas,Zapatillas de trail running,Sí,No,Sí,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),9,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2025-01-26 16:08:51.000,veintiséis,Mujer,España,No,,Moderada (10–20 km regularmente),Media,Deportivo,En grupo pequeño (3–6 personas),Verano,No,Francés,8,Sárria,100–200 km,Suaves,Botas de montaña,Sí,No,Sí,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Cortas y fáciles (≤ 15 km),9,No,"Planifica etapas cortas y constantes, evita alargar por euforia. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-10-01 18:15:28.000,veintiuno,Hombre,España,Sí,Ligamento de rodilla inestable,Moderada (10–20 km regularmente),Media,"Cultural/turístico, Deportivo, Religioso",En grupo pequeño (3–6 personas),Verano,No,Francés,cinco,Sarria,100–200 km,Moderadas,Zapatillas de trail running,Sí,No,Sí,"Hostales / Hoteles, Airbnb",Este año,Sí,Medias (~20 km con algo de desnivel),9,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-03-27 16:25:23.000,37,Hombre,España,,,Ninguna,Media,"Cultural/turístico, Deportivo, Religioso",Solo/a,Verano,No,Primitivo,doce,Grado,200–400 km,Exigentes,Zapatillas deportivas normales,Sí,No,No,"Albergues públicos, Albergues privados",Este año,Sí,Largas y exigentes (≥ 25 km),8,No,"Controla el ritmo; escucha tus pies y haz estiramientos. Sal temprano por el calor y reserva si vas por el Francés. El terreno puede ser húmedo: calzado con buena suela. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A caballo
2025-06-14 07:02:22.000,48,Mujer,Reino Unido,No,,Básica (≤ 10 km ocasionalmente),Alta,Personal/reflexivo,Solo/a,Otoño,Sí,Primitivo,5,Lugo,100–200 km,Moderadas,Botas de montaña,Sí,No,Sí,Hostales / Hoteles,Este año,Sí,Medias (~20 km con algo de desnivel),8,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. El terreno puede ser húmedo: calzado con buena suela. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2025-01-23 06:51:11.000,24,Hombre,España,No,,Moderada (10–20 km regularmente),Media,"Deportivo, Personal/reflexivo, Religioso",En pareja,Invierno,No,Francés,13,Ponferrada,200–400 km,Muy variables,Zapatillas de trail running,Sí,No,Sí,"Hostales / Hoteles, Airbnb",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),9,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2025-04-04 17:44:01.000,cincuenta y ocho,Hombre,España,Sí,Asma leve,Moderada (10–20 km regularmente),Alta,"Cultural/turístico, Deportivo, Religioso",En grupo pequeño (3–6 personas),Verano,No,Portugués,doce,Porto,200–400 km,Muy variables,Sandalias de trekking,Sí,No,No,Albergues privados,Este año,Sí,Medias (~20 km con algo de desnivel),9,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-02-14 13:10:59.000,cuarenta,Hombre,Colombia,No,,Moderada (10–20 km regularmente),Baja,"Deportivo, Personal/reflexivo, Religioso",En pareja,Otoño,No,Inglés,cinco,Ferrol,100–200 km,Muy variables,Zapatillas deportivas normales,Sí,No,Sí,Hostales / Hoteles,Este año,Sí,Largas y exigentes (≥ 25 km),9,No,"Controla el ritmo; escucha tus pies y haz estiramientos. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-07-13 08:05:16.000,35,Hombre,España,No,,Moderada (10–20 km regularmente),Media,"Personal/reflexivo, Religioso",En grupo organizado (>6),Primavera,No,Francés,seis,Sarria,100–200 km,Muy variables,Playeros ,Sí,Sí,Sí,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),8,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2025-06-24 19:20:22.000,treinta y nueve,Hombre,Italia,Sí,Tendinitis rotuliana,Básica (≤ 10 km ocasionalmente),Media,"Cultural/turístico, Deportivo",Solo/a,Otoño,No,del Norte,28,Bilbao,200–400 km,Moderadas,Botas de montaña,Sí,No,No,Albergues públicos,Más de 2 años,Sí,Largas y exigentes (≥ 25 km),9,No,"Controla el ritmo; escucha tus pies y haz estiramientos. El terreno puede ser húmedo: calzado con buena suela. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-11-04 05:15:51.000,25,Mujer,España,No,,Básica (≤ 10 km ocasionalmente),Alta,"Cultural/turístico, Personal/reflexivo",En pareja,Otoño,No,Portugués,6,O Porriño,100–200 km,Suaves,Botas de montaña,Sí,No,No,Albergues públicos,En los últimos 2 años,Sí,Cortas y fáciles (≤ 15 km),8,No,,A pie
2024-07-30 04:25:59.000,cuarenta y nueve,Hombre,España,No,,Moderada (10–20 km regularmente),Baja,"Cultural/turístico, Personal/reflexivo",Solo/a,Verano,Sí,del Norte,24,Gijón,200–400 km,Muy variables,Zapatillas deportivas normales,Sí,No,Sí,"Albergues privados, Hostales / Hoteles",Este año,Sí,Cortas y fáciles (≤ 15 km),9,No,,A pie
2025-03-10 06:38:48.000,42,Mujer,España,,,Moderada (10–20 km regularmente),Media,"Personal/reflexivo, Religioso",En pareja,Verano,No,Francés,7,Sarria,100–200 km,Suaves,Playeros ,Sí,No,Sí,"Hostales / Hoteles, Airbnb",En los últimos 2 años,Sí,Cortas y fáciles (≤ 15 km),9,No,"Planifica etapas cortas y constantes, evita alargar por euforia. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-01-20 19:35:42.000,37,Mujer,España,,,Básica (≤ 10 km ocasionalmente),Media,"Cultural/turístico, Personal/reflexivo",En grupo pequeño (3–6 personas),Primavera,No,Francés,7,Sarria,100–200 km,Suaves,Zapatillas deportivas normales,Sí,No,No,"Albergues públicos, Albergues privados",Más de 2 años,Sí,Cortas y fáciles (≤ 15 km),8,No,,A pie
2024-10-30 03:40:11.000,43,Mujer,España,,,Avanzada (rutas largas con mochila/montaña),Alta,"Cultural/turístico, Deportivo",Solo/a,Invierno,No,Francés,6,Sarria,100–200 km,Moderadas,Zapatillas deportivas normales,Sí,No,No,Albergues privados,En los últimos 2 años,Tal vez,Medias (~20 km con algo de desnivel),7,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2025-02-14 20:30:16.000,31,Mujer,España,No,,Moderada (10–20 km regularmente),Baja,"Cultural/turístico, Personal/reflexivo, Religioso",Solo/a,Verano,No,Francés,10,Ponferrada,200–400 km,Moderadas,Zapatillas deportivas normales,Sí,No,Sí,"Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),9,No,,A pie
2024-05-09 22:30:58.000,veinticinco,Mujer,España,Sí,Tendinitis rotuliana,Básica (≤ 10 km ocasionalmente),Media,Religioso,En pareja,Otoño,No,Francés,7,Sarria,100–200 km,Suaves,Playeros ,No,No,Sí,Hostales / Hoteles,En los últimos 2 años,Sí,Cortas y fáciles (≤ 15 km),9,No,"Planifica etapas cortas y constantes, evita alargar por euforia. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-03-16 00:10:49.000,25,Hombre,México,No,,Moderada (10–20 km regularmente),Media,"Deportivo, Religioso",En grupo pequeño (3–6 personas),Otoño,No,Portugués,5,Vigo,100–200 km,Moderadas,Zapatillas deportivas normales,Sí,No,No,Albergues privados,Este año,Sí,Medias (~20 km con algo de desnivel),9,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-08-03 00:51:35.000,treinta y siete,Hombre,España,No,,Básica (≤ 10 km ocasionalmente),Media,"Cultural/turístico, Deportivo, Personal/reflexivo",En grupo organizado (>6),Verano,Sí,Primitivo,doce,Oviedo,200–400 km,Exigentes,Botas de montaña,Sí,No,Sí,"Albergues públicos, Albergues privados",Este año,Sí,Medias (~20 km con algo de desnivel),9,No,,En bici
2024-03-13 17:21:51.000,37,Mujer,España,No,,Básica (≤ 10 km ocasionalmente),Baja,"Cultural/turístico, Deportivo",Solo/a,Verano,No,Francés,8,Sarrià,100–200 km,Suaves,Zapatillas deportivas normales,Sí,No,Sí,Hostales / Hoteles,Este año,Sí,Medias (~20 km con algo de desnivel),9,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-03-19 06:59:31.000,33,Hombre,España,,,Moderada (10–20 km regularmente),Media,"Cultural/turístico, Deportivo",En grupo pequeño (3–6 personas),Verano,No,Francés,4,Sarria,100–200 km,Exigentes,Botas de montaña,Sí,Sí,Sí,"Hostales / Hoteles, Airbnb",Este año,Sí,Largas y exigentes (≥ 25 km),8,No,,A pie
2024-11-10 13:26:46.000,sesenta y cuatro,Mujer,España,No,,Avanzada (rutas largas con mochila/montaña),Media,"Deportivo, Religioso",En pareja,Verano,No,Primitivo,4,Lugo,100–200 km,Exigentes,Zapatillas deportivas normales,Sí,No,No,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Largas y exigentes (≥ 25 km),9,No,,A pie
2024-04-11 09:31:00.000,treinta y cinco,Hombre,España,Sí,Asma leve,Avanzada (rutas largas con mochila/montaña),Media,Deportivo,En pareja,Verano,No,del Norte,diez,Ribadeo,100–200 km,Moderadas,Zapatillas deportivas normales,Sí,No,Sí,"Hostales / Hoteles, Pensiones",Más de 2 años,Sí,Largas y exigentes (≥ 25 km),10,No,"Controla el ritmo; escucha tus pies y haz estiramientos. Sal temprano por el calor y reserva si vas por el Francés. El terreno puede ser húmedo: calzado con buena suela. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2025-05-14 15:25:31.000,veinticuatro,Mujer,España,No,,Moderada (10–20 km regularmente),Alta,"Deportivo, Personal/reflexivo, Religioso",Solo/a,Primavera,No,Portugués,3,Pontevedra,Menos de 100 km,Moderadas,Zapatillas deportivas normales,Sí,Sí,No,Albergues públicos,En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),9,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-11-30 00:15:39.000,treinta,Mujer,Reino Unido,,,Moderada (10–20 km regularmente),Media,"Deportivo, Personal/reflexivo, Religioso",Solo/a,Verano,No,Francés,cinco,Sarria,100–200 km,Moderadas,Zapatillas deportivas normales,Sí,No,Sí,"Hostales / Hoteles, Airbnb",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),10,No,,A pie
2024-09-21 09:06:16.000,cuarenta y nueve,Hombre,España,No,,Avanzada (rutas largas con mochila/montaña),Media,"Cultural/turístico, Personal/reflexivo",En grupo pequeño (3–6 personas),Otoño,No,Portugués,7,Tui,100–200 km,Suaves,Zapatillas de trail running,Sí,No,No,"Albergues públicos, Albergues privados, Hostales / Hoteles",En los últimos 2 años,Sí,Cortas y fáciles (≤ 15 km),8,No,,En bici
2025-05-29 16:08:46.000,22,Hombre,España,,,Básica (≤ 10 km ocasionalmente),Media,"Personal/reflexivo, Religioso",Solo/a,Verano,No,Portugués,8,Valença,100–200 km,Suaves,Zapatillas deportivas normales,No,Sí,No,Albergues privados,Este año,Sí,Medias (~20 km con algo de desnivel),9,No,,A pie
2025-07-21 02:15:01.000,treinta y nueve,Hombre,Argentina,Sí,Fascitis plantar,Avanzada (rutas largas con mochila/montaña),Media,Cultural/turístico,Solo/a,Verano,Sí,Inglés,4,Betanzos,Menos de 100 km,Moderadas,Botas de montaña,Sí,Sí,No,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),8,No,,A pie
2025-06-14 15:10:18.000,40,Mujer,México,Sí,Ligamento de rodilla inestable,Básica (≤ 10 km ocasionalmente),Alta,Religioso,Solo/a,Otoño,No,del Norte,21,Santander,200–400 km,Moderadas,Botas de montaña,Sí,No,Sí,"Albergues públicos, Albergues privados",Este año,Sí,Largas y exigentes (≥ 25 km),8,No,,A pie
2025-01-19 06:02:48.000,treinta y seis,Hombre,Portugal,No,,Básica (≤ 10 km ocasionalmente),Alta,"Cultural/turístico, Deportivo, Religioso",En grupo pequeño (3–6 personas),Primavera,No,Primitivo,diecisiete,Oviedo,200–400 km,Moderadas,Zapatillas deportivas normales,No,No,No,"Albergues públicos, Albergues privados",Este año,Sí,Cortas y fáciles (≤ 15 km),9,No,"Planifica etapas cortas y constantes, evita alargar por euforia. El terreno puede ser húmedo: calzado con buena suela. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2025-02-27 20:17:04.000,treinta y cuatro,Mujer,España,,,Básica (≤ 10 km ocasionalmente),Media,"Cultural/turístico, Deportivo, Religioso",Solo/a,Verano,No,Francés,15,León,200–400 km,Moderadas,Playeros ,Sí,Sí,Sí,"Hostales / Hoteles, Airbnb",Este año,Sí,Medias (~20 km con algo de desnivel),10,No,"Etapas de ~20–25 km funcionan bien; cuida la hidratación. Sal temprano por el calor y reserva si vas por el Francés. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-01-24 06:30:45.000,treinta y seis,Mujer,España,Sí,Dolor lumbar,Básica (≤ 10 km ocasionalmente),Media,"Cultural/turístico, Deportivo, Religioso",Solo/a,Otoño,No,Francés,5,Sarría,100–200 km,Moderadas,Botas de montaña,Sí,No,Sí,Hostales / Hoteles,Este año,Sí,Largas y exigentes (≥ 25 km),8,No,"Controla el ritmo; escucha tus pies y haz estiramientos. Cuida pies: crema antifricción, cambio de calcetines a mediodía.",A pie
2024-01-03 03:21:25.000,28,Hombre,España,No,,Avanzada (rutas largas con mochila/montaña),Media,"Deportivo, Personal/reflexivo, Religioso",Solo/a,Verano,No,Francés,9,Sarria,100–200 km,Suaves,Zapatillas de trail running,Sí,Sí,Sí,Hostales / Hoteles,Más de 2 años,Sí,Cortas y fáciles (≤ 15 km),8,No,,A pie
